
instance time incumbent bks
==========Running script at 2025-12-18 20:49:26==========
tai15a 3.42 389718.0 388214 0.0039
tai15b 3.41 52541286.0 51765268 0.0150
tai17a 4.73 501734.0 491812 0.0202
tai20a 5.56 719436.0 703482 0.0227
tai20b 5.56 124345588.0 122455319 0.0154
nug12 4.40 578.0 578 0.0000
bur26a 6.88 5374631.0 5426670 -0.0096
bur26a 6.71 5374631.0 5426670 -0.0096
bur26a 6.90 5374631.0 5426670 -0.0096
tai256c 926.49 45238810.0 44759294 0.0107
tai25a 7.59 1204930.0 1167256 0.0323
tai25b 7.59 351118414.0 344355646 0.0196
tai30a 9.54 1886862.0 1818146 0.0378
tai30b 9.54 642546205.0 637117113 0.0085
tai35a 18.40 2515834.0 2422002 0.0387
tai35b 18.39 291518619.0 283315445 0.0290
tai40a 21.70 3282772.0 3139370 0.0457
tai40b 21.70 649383420.0 637250948 0.0190
tai50a 35.53 5173126.0 4938796 0.0474
tai50b 35.54 468530984.0 458821517 0.0212
tai60a 48.79 7579906.0 7205962 0.0519
tai60b 48.77 630134588.0 608215054 0.0360
tai64c 54.18 1860702.0 1855928 0.0026
tai80a 111.08 14217520.0 13499184 0.0532
tai80b 111.08 861717806.0 818415043 0.0529
tho150 252.94 8558732.0 8133398 0.0523
tho30 9.53 155494.0 149936 0.0371
tho40 21.71 250458.0 240516 0.0413
wil100 97.00 282030.0 273038 0.0329
wil50 35.52 49770.0 48816 0.0195
bur26a 5.65 5500400.0 5426670 0.0136
bur26a 7.19 5503603.0 5426670 0.0142
bur26b 7.18 3867070.0 3817852 0.0129
bur26b 4.80 3871151.0 3817852 0.0140
==========Running script at 2025-12-21 15:19:02, seed 42, iters 2000, batch_size 2000, optimizer adam==========
==========Running script at 2025-12-21 15:19:22, seed 42, iters 2000, batch_size 2000, optimizer adam==========
bur26a 7.89 5508467.0 5426670 0.0151
bur26b 7.88 3874947.0 3817852 0.0150
bur26c 7.87 5521921.0 5426795 0.0175
bur26d 7.87 3885213.0 3821225 0.0167
==========Running script at 2025-12-21 15:21:52, seed 42, iters 2000, batch_size 2000, optimizer adam==========
bur26a 7.86 5508467.0 5426670 0.0151
bur26b 7.85 3874947.0 3817852 0.0150
bur26c 7.87 5521921.0 5426795 0.0175
bur26d 7.87 3885213.0 3821225 0.0167
bur26e 7.87 5487669.0 5386879 0.0187
bur26f 7.87 3866720.0 3782044 0.0224
bur26g 7.86 10302661.0 10117172 0.0183
bur26h 7.85 7229102.0 7098658 0.0184
chr12a 3.00 9552.0 9552 0.0000
chr12b 3.00 9762.0 9742 0.0021
chr12c 3.00 11156.0 11156 0.0000
chr15a 3.44 10120.0 9896 0.0226
chr15b 3.43 9616.0 7990 0.2035
chr15c 3.45 9940.0 9504 0.0459
chr18a 4.94 11588.0 11098 0.0442
chr18b 4.93 1534.0 1534 0.0000
chr20a 5.59 2518.0 2192 0.1487
chr20b 5.58 2484.0 2298 0.0809
chr20c 5.57 16232.0 14142 0.1478
chr22a 6.11 6860.0 6156 0.1144
chr22b 6.10 6854.0 6194 0.1066
chr25a 7.60 4920.0 3796 0.2961
els19 5.35 19687736.0 17212548 0.1438
==========Running script at 2025-12-21 15:25:56, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 7.85 5493080.0 5426670 0.0122
bur26b 7.84 3869812.0 3817852 0.0136
bur26c 7.85 5504340.0 5426795 0.0143
bur26d 7.84 3874908.0 3821225 0.0140
bur26e 7.84 5497644.0 5386879 0.0206
bur26f 7.84 3870834.0 3782044 0.0235
bur26g 7.85 10276755.0 10117172 0.0158
bur26h 7.85 7235203.0 7098658 0.0192
chr12a 3.03 9552.0 9552 0.0000
chr12b 3.03 9742.0 9742 0.0000
chr12c 3.04 11156.0 11156 0.0000
chr15a 3.45 9936.0 9896 0.0040
chr15b 3.45 7990.0 7990 0.0000
chr15c 3.46 9940.0 9504 0.0459
chr18a 4.94 11142.0 11098 0.0040
chr18b 4.94 1534.0 1534 0.0000
chr20a 5.58 2224.0 2192 0.0146
chr20b 5.58 2418.0 2298 0.0522
chr20c 5.57 15880.0 14142 0.1229
chr22a 6.10 6702.0 6156 0.0887
chr22b 6.10 6690.0 6194 0.0801
chr25a 7.59 4744.0 3796 0.2497
els19 5.35 19298846.0 17212548 0.1212
esc128 157.02 64.0 64 0.0000
esc16a 3.73 72.0 68 0.0588
esc16b 3.74 292.0 292 0.0000
esc16c 3.72 160.0 160 0.0000
esc16d 3.72 16.0 16 0.0000
esc16e 3.74 28.0 28 0.0000
esc16g 3.72 26.0 26 0.0000
esc16h 3.72 996.0 996 0.0000
esc16i 3.72 14.0 14 0.0000
esc16j 3.71 8.0 8 0.0000
esc32e 10.93 2.0 2 0.0000
esc32g 10.93 6.0 6 0.0000
had12 3.02 1676.0 1652 0.0145
had14 3.27 2748.0 2724 0.0088
had16 3.71 3724.0 3720 0.0011
had18 4.94 5418.0 5358 0.0112
had20 5.59 6984.0 6922 0.0090
kra30a 9.50 90890.0 88900 0.0224
kra30b 9.50 92490.0 91420 0.0117
kra32 10.93 90950.0 88900 0.0231
lipa20a 5.58 3757.0 3683 0.0201
lipa20b 5.58 27076.0 27076 0.0000
lipa30a 9.52 13441.0 13178 0.0200
lipa30b 9.51 151426.0 151426 0.0000
lipa40a 22.00 32093.0 31538 0.0176
lipa40b 22.07 476581.0 476581 0.0000
lipa50a 36.21 63072.0 62093 0.0158
lipa50b 36.22 1210244.0 1210244 0.0000
lipa60a 49.88 108708.0 107218 0.0139
lipa60b 49.88 2520135.0 2520135 0.0000
==========Running script at 2025-12-21 15:41:07, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 7.85 5493080.0 5426670 0.0122
bur26b 7.84 3869812.0 3817852 0.0136
==========Running script at 2025-12-21 15:41:42, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
==========Running script at 2025-12-21 15:41:54, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 7.84 5541189.000000001 5426670 0.0211
bur26b 7.84 3915248.9999999995 3817852 0.0255
==========Running script at 2025-12-21 15:42:34, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 7.82 5509995.0 5426670 0.0154
==========Running script at 2025-12-21 15:42:53, seed 42, iters 4000, batch_size 2000, optimizer rmsprop==========
bur26a 14.90 5509995.0 5426670 0.0154
==========Running script at 2025-12-21 15:44:30, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
==========Running script at 2025-12-21 15:47:34, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 7.83 5504314.0 5426670 0.0143
bur26b 7.84 3867785.9999999995 3817852 0.0131
bur26c 7.84 5513850.0 5426795 0.0160
nug12 9.98 578.0 578 0.0000
nug12 5.42 578.0 578 0.0000
==========Running script at 2025-12-22 13:14:36, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 14.30 5433491.0 5426670 0.0013
bur26b 14.26 3824979.0 3817852 0.0019
==========Running script at 2025-12-22 13:15:19, seed 42, iters 2000, batch_size 2000, optimizer rmsprop==========
bur26a 27.75 5433491.0 5426670 0.0013
bur26b 27.83 3824979.0 3817852 0.0019
bur26c 27.80 5427417.0 5426795 0.0001
bur26d 27.80 3821281.0 3821225 0.0000
bur26e 27.84 5388238.0 5386879 0.0003
bur26f 27.83 3783232.0 3782044 0.0003
bur26g 27.85 10121398.0 10117172 0.0004
bur26h 27.85 7101070.0 7098658 0.0003
chr12a 11.98 10122.0 9552 0.0597
chr12b 11.97 9742.0 9742 0.0000
chr12c 11.97 11186.0 11156 0.0027
chr15a 13.78 9936.0 9896 0.0040
chr15b 13.79 8990.0 7990 0.1252
chr15c 13.78 9504.0 9504 0.0000
chr18a 17.80 11098.0 11098 0.0000
chr18b 17.75 1534.0 1534 0.0000
chr20a 20.62 2392.0 2192 0.0912
chr20b 20.60 2516.0 2298 0.0949
==========Running script at 2025-12-22 13:22:12, seed 42, iters 5000, batch_size 1000, optimizer rmsprop==========
bur26a 44.04 5434408.0 5426670 0.0014
bur26b 44.08 3825454.0 3817852 0.0020
bur26c 44.15 5427417.0 5426795 0.0001
==========Running script at 2025-12-22 13:24:44, seed 42, iters 3000, batch_size 2000, optimizer rmsprop==========
bur26a 41.50 5433491.0 5426670 0.0013
bur26b 41.57 3824979.0 3817852 0.0019
bur26c 41.51 5427417.0 5426795 0.0001
bur26d 41.45 3821281.0 3821225 0.0000
